location,age_group,forecast_date,target_end_date,target,type,quantile,value,pathogen
DE-BB,00+,2024-01-18,2024-01-18,0 day ahead inc hosp,mean,NA,83.3,COVID-19
DE-BB,00+,2024-01-18,2024-01-17,-1 day ahead inc hosp,mean,NA,86.9,COVID-19
DE-BB,00+,2024-01-18,2024-01-16,-2 day ahead inc hosp,mean,NA,97.6,COVID-19
DE-BB,00+,2024-01-18,2024-01-15,-3 day ahead inc hosp,mean,NA,111.1,COVID-19
DE-BB,00+,2024-01-18,2024-01-14,-4 day ahead inc hosp,mean,NA,109.8,COVID-19
DE-BB,00+,2024-01-18,2024-01-13,-5 day ahead inc hosp,mean,NA,109.8,COVID-19
DE-BB,00+,2024-01-18,2024-01-12,-6 day ahead inc hosp,mean,NA,129.1,COVID-19
DE-BB,00+,2024-01-18,2024-01-11,-7 day ahead inc hosp,mean,NA,140.7,COVID-19
DE-BB,00+,2024-01-18,2024-01-10,-8 day ahead inc hosp,mean,NA,172.4,COVID-19
DE-BB,00+,2024-01-18,2024-01-09,-9 day ahead inc hosp,mean,NA,264.9,COVID-19
DE-BB,00+,2024-01-18,2024-01-08,-10 day ahead inc hosp,mean,NA,230.8,COVID-19
DE-BB,00+,2024-01-18,2024-01-07,-11 day ahead inc hosp,mean,NA,230.8,COVID-19
DE-BB,00+,2024-01-18,2024-01-06,-12 day ahead inc hosp,mean,NA,233,COVID-19
DE-BB,00+,2024-01-18,2024-01-05,-13 day ahead inc hosp,mean,NA,242.3,COVID-19
DE-BB,00+,2024-01-18,2024-01-04,-14 day ahead inc hosp,mean,NA,258,COVID-19
DE-BB,00+,2024-01-18,2024-01-03,-15 day ahead inc hosp,mean,NA,360.9,COVID-19
DE-BB,00+,2024-01-18,2024-01-02,-16 day ahead inc hosp,mean,NA,239.9,COVID-19
DE-BB,00+,2024-01-18,2024-01-01,-17 day ahead inc hosp,mean,NA,264.1,COVID-19
DE-BB,00+,2024-01-18,2023-12-31,-18 day ahead inc hosp,mean,NA,266.2,COVID-19
DE-BB,00+,2024-01-18,2023-12-30,-19 day ahead inc hosp,mean,NA,268.2,COVID-19
DE-BB,00+,2024-01-18,2023-12-29,-20 day ahead inc hosp,mean,NA,283.8,COVID-19
DE-BB,00+,2024-01-18,2023-12-28,-21 day ahead inc hosp,mean,NA,311.6,COVID-19
DE-BB,00+,2024-01-18,2023-12-27,-22 day ahead inc hosp,mean,NA,262.1,COVID-19
DE-BB,00+,2024-01-18,2023-12-26,-23 day ahead inc hosp,mean,NA,388.7,COVID-19
DE-BB,00+,2024-01-18,2023-12-25,-24 day ahead inc hosp,mean,NA,562.3,COVID-19
DE-BB,00+,2024-01-18,2023-12-24,-25 day ahead inc hosp,mean,NA,568.3,COVID-19
DE-BB,00+,2024-01-18,2023-12-23,-26 day ahead inc hosp,mean,NA,577.5,COVID-19
DE-BB,00+,2024-01-18,2023-12-22,-27 day ahead inc hosp,mean,NA,601.3,COVID-19
DE-BB,00+,2024-01-18,2023-12-21,-28 day ahead inc hosp,mean,NA,653.1,COVID-19
DE-BB,00+,2024-01-18,2024-01-18,0 day ahead inc hosp,quantile,0.025,69,COVID-19
DE-BB,00+,2024-01-18,2024-01-17,-1 day ahead inc hosp,quantile,0.025,75,COVID-19
DE-BB,00+,2024-01-18,2024-01-16,-2 day ahead inc hosp,quantile,0.025,89,COVID-19
DE-BB,00+,2024-01-18,2024-01-15,-3 day ahead inc hosp,quantile,0.025,104,COVID-19
DE-BB,00+,2024-01-18,2024-01-14,-4 day ahead inc hosp,quantile,0.025,103,COVID-19
DE-BB,00+,2024-01-18,2024-01-13,-5 day ahead inc hosp,quantile,0.025,103,COVID-19
DE-BB,00+,2024-01-18,2024-01-12,-6 day ahead inc hosp,quantile,0.025,122,COVID-19
DE-BB,00+,2024-01-18,2024-01-11,-7 day ahead inc hosp,quantile,0.025,134,COVID-19
DE-BB,00+,2024-01-18,2024-01-10,-8 day ahead inc hosp,quantile,0.025,165,COVID-19
DE-BB,00+,2024-01-18,2024-01-09,-9 day ahead inc hosp,quantile,0.025,256,COVID-19
DE-BB,00+,2024-01-18,2024-01-08,-10 day ahead inc hosp,quantile,0.025,223,COVID-19
DE-BB,00+,2024-01-18,2024-01-07,-11 day ahead inc hosp,quantile,0.025,223,COVID-19
DE-BB,00+,2024-01-18,2024-01-06,-12 day ahead inc hosp,quantile,0.025,225.190775681342,COVID-19
DE-BB,00+,2024-01-18,2024-01-05,-13 day ahead inc hosp,quantile,0.025,235.643328550933,COVID-19
DE-BB,00+,2024-01-18,2024-01-04,-14 day ahead inc hosp,quantile,0.025,251.320355951057,COVID-19
DE-BB,00+,2024-01-18,2024-01-03,-15 day ahead inc hosp,quantile,0.025,356,COVID-19
DE-BB,00+,2024-01-18,2024-01-02,-16 day ahead inc hosp,quantile,0.025,236,COVID-19
DE-BB,00+,2024-01-18,2024-01-01,-17 day ahead inc hosp,quantile,0.025,260,COVID-19
DE-BB,00+,2024-01-18,2023-12-31,-18 day ahead inc hosp,quantile,0.025,262,COVID-19
DE-BB,00+,2024-01-18,2023-12-30,-19 day ahead inc hosp,quantile,0.025,264,COVID-19
DE-BB,00+,2024-01-18,2023-12-29,-20 day ahead inc hosp,quantile,0.025,279,COVID-19
DE-BB,00+,2024-01-18,2023-12-28,-21 day ahead inc hosp,quantile,0.025,307,COVID-19
DE-BB,00+,2024-01-18,2023-12-27,-22 day ahead inc hosp,quantile,0.025,261.518271604938,COVID-19
DE-BB,00+,2024-01-18,2023-12-26,-23 day ahead inc hosp,quantile,0.025,387.79387755102,COVID-19
DE-BB,00+,2024-01-18,2023-12-25,-24 day ahead inc hosp,quantile,0.025,561.491836734694,COVID-19
DE-BB,00+,2024-01-18,2023-12-24,-25 day ahead inc hosp,quantile,0.025,567.508,COVID-19
DE-BB,00+,2024-01-18,2023-12-23,-26 day ahead inc hosp,quantile,0.025,576.45,COVID-19
DE-BB,00+,2024-01-18,2023-12-22,-27 day ahead inc hosp,quantile,0.025,600.29746835443,COVID-19
DE-BB,00+,2024-01-18,2023-12-21,-28 day ahead inc hosp,quantile,0.025,652.79,COVID-19
DE-BB,00+,2024-01-18,2024-01-18,0 day ahead inc hosp,quantile,0.1,69.8985714285714,COVID-19
DE-BB,00+,2024-01-18,2024-01-17,-1 day ahead inc hosp,quantile,0.1,76.077789309808,COVID-19
DE-BB,00+,2024-01-18,2024-01-16,-2 day ahead inc hosp,quantile,0.1,91.1605269073416,COVID-19
DE-BB,00+,2024-01-18,2024-01-15,-3 day ahead inc hosp,quantile,0.1,104,COVID-19
DE-BB,00+,2024-01-18,2024-01-14,-4 day ahead inc hosp,quantile,0.1,104.562962962963,COVID-19
DE-BB,00+,2024-01-18,2024-01-13,-5 day ahead inc hosp,quantile,0.1,104.641960784314,COVID-19
DE-BB,00+,2024-01-18,2024-01-12,-6 day ahead inc hosp,quantile,0.1,123.411978221416,COVID-19
DE-BB,00+,2024-01-18,2024-01-11,-7 day ahead inc hosp,quantile,0.1,134.324210526316,COVID-19
DE-BB,00+,2024-01-18,2024-01-10,-8 day ahead inc hosp,quantile,0.1,165,COVID-19
DE-BB,00+,2024-01-18,2024-01-09,-9 day ahead inc hosp,quantile,0.1,256,COVID-19
DE-BB,00+,2024-01-18,2024-01-08,-10 day ahead inc hosp,quantile,0.1,223,COVID-19
DE-BB,00+,2024-01-18,2024-01-07,-11 day ahead inc hosp,quantile,0.1,223,COVID-19
DE-BB,00+,2024-01-18,2024-01-06,-12 day ahead inc hosp,quantile,0.1,225,COVID-19
DE-BB,00+,2024-01-18,2024-01-05,-13 day ahead inc hosp,quantile,0.1,235,COVID-19
DE-BB,00+,2024-01-18,2024-01-04,-14 day ahead inc hosp,quantile,0.1,251.605263157895,COVID-19
DE-BB,00+,2024-01-18,2024-01-03,-15 day ahead inc hosp,quantile,0.1,354.249275362319,COVID-19
DE-BB,00+,2024-01-18,2024-01-02,-16 day ahead inc hosp,quantile,0.1,235,COVID-19
DE-BB,00+,2024-01-18,2024-01-01,-17 day ahead inc hosp,quantile,0.1,259.636,COVID-19
DE-BB,00+,2024-01-18,2023-12-31,-18 day ahead inc hosp,quantile,0.1,262.742857142857,COVID-19
DE-BB,00+,2024-01-18,2023-12-30,-19 day ahead inc hosp,quantile,0.1,264.742857142857,COVID-19
DE-BB,00+,2024-01-18,2023-12-29,-20 day ahead inc hosp,quantile,0.1,281,COVID-19
DE-BB,00+,2024-01-18,2023-12-28,-21 day ahead inc hosp,quantile,0.1,310.502222222222,COVID-19
DE-BB,00+,2024-01-18,2023-12-27,-22 day ahead inc hosp,quantile,0.1,261.213333333333,COVID-19
DE-BB,00+,2024-01-18,2023-12-26,-23 day ahead inc hosp,quantile,0.1,387.08,COVID-19
DE-BB,00+,2024-01-18,2023-12-25,-24 day ahead inc hosp,quantile,0.1,560.92,COVID-19
DE-BB,00+,2024-01-18,2023-12-24,-25 day ahead inc hosp,quantile,0.1,566.92,COVID-19
DE-BB,00+,2024-01-18,2023-12-23,-26 day ahead inc hosp,quantile,0.1,577.5,COVID-19
DE-BB,00+,2024-01-18,2023-12-22,-27 day ahead inc hosp,quantile,0.1,601.3,COVID-19
DE-BB,00+,2024-01-18,2023-12-21,-28 day ahead inc hosp,quantile,0.1,653.1,COVID-19
DE-BB,00+,2024-01-18,2024-01-18,0 day ahead inc hosp,quantile,0.25,75.1470588235294,COVID-19
DE-BB,00+,2024-01-18,2024-01-17,-1 day ahead inc hosp,quantile,0.25,77.7857142857143,COVID-19
DE-BB,00+,2024-01-18,2024-01-16,-2 day ahead inc hosp,quantile,0.25,92.4052863436123,COVID-19
DE-BB,00+,2024-01-18,2024-01-15,-3 day ahead inc hosp,quantile,0.25,106.136363636364,COVID-19
DE-BB,00+,2024-01-18,2024-01-14,-4 day ahead inc hosp,quantile,0.25,105.1875,COVID-19
DE-BB,00+,2024-01-18,2024-01-13,-5 day ahead inc hosp,quantile,0.25,104.785714285714,COVID-19
DE-BB,00+,2024-01-18,2024-01-12,-6 day ahead inc hosp,quantile,0.25,123.294117647059,COVID-19
DE-BB,00+,2024-01-18,2024-01-11,-7 day ahead inc hosp,quantile,0.25,134,COVID-19
DE-BB,00+,2024-01-18,2024-01-10,-8 day ahead inc hosp,quantile,0.25,165.96,COVID-19
DE-BB,00+,2024-01-18,2024-01-09,-9 day ahead inc hosp,quantile,0.25,256.16,COVID-19
DE-BB,00+,2024-01-18,2024-01-08,-10 day ahead inc hosp,quantile,0.25,223,COVID-19
DE-BB,00+,2024-01-18,2024-01-07,-11 day ahead inc hosp,quantile,0.25,223,COVID-19
DE-BB,00+,2024-01-18,2024-01-06,-12 day ahead inc hosp,quantile,0.25,225,COVID-19
DE-BB,00+,2024-01-18,2024-01-05,-13 day ahead inc hosp,quantile,0.25,237.285714285714,COVID-19
DE-BB,00+,2024-01-18,2024-01-04,-14 day ahead inc hosp,quantile,0.25,251,COVID-19
DE-BB,00+,2024-01-18,2024-01-03,-15 day ahead inc hosp,quantile,0.25,356.285714285714,COVID-19
DE-BB,00+,2024-01-18,2024-01-02,-16 day ahead inc hosp,quantile,0.25,238,COVID-19
DE-BB,00+,2024-01-18,2024-01-01,-17 day ahead inc hosp,quantile,0.25,263,COVID-19
DE-BB,00+,2024-01-18,2023-12-31,-18 day ahead inc hosp,quantile,0.25,265,COVID-19
DE-BB,00+,2024-01-18,2023-12-30,-19 day ahead inc hosp,quantile,0.25,267,COVID-19
DE-BB,00+,2024-01-18,2023-12-29,-20 day ahead inc hosp,quantile,0.25,283.8,COVID-19
DE-BB,00+,2024-01-18,2023-12-28,-21 day ahead inc hosp,quantile,0.25,311.6,COVID-19
DE-BB,00+,2024-01-18,2023-12-27,-22 day ahead inc hosp,quantile,0.25,262.1,COVID-19
DE-BB,00+,2024-01-18,2023-12-26,-23 day ahead inc hosp,quantile,0.25,388.7,COVID-19
DE-BB,00+,2024-01-18,2023-12-25,-24 day ahead inc hosp,quantile,0.25,562.3,COVID-19
DE-BB,00+,2024-01-18,2023-12-24,-25 day ahead inc hosp,quantile,0.25,568.3,COVID-19
DE-BB,00+,2024-01-18,2023-12-23,-26 day ahead inc hosp,quantile,0.25,577.5,COVID-19
DE-BB,00+,2024-01-18,2023-12-22,-27 day ahead inc hosp,quantile,0.25,601.3,COVID-19
DE-BB,00+,2024-01-18,2023-12-21,-28 day ahead inc hosp,quantile,0.25,653.1,COVID-19
DE-BB,00+,2024-01-18,2024-01-18,0 day ahead inc hosp,quantile,0.5,83,COVID-19
DE-BB,00+,2024-01-18,2024-01-17,-1 day ahead inc hosp,quantile,0.5,87,COVID-19
DE-BB,00+,2024-01-18,2024-01-16,-2 day ahead inc hosp,quantile,0.5,98,COVID-19
DE-BB,00+,2024-01-18,2024-01-15,-3 day ahead inc hosp,quantile,0.5,111,COVID-19
DE-BB,00+,2024-01-18,2024-01-14,-4 day ahead inc hosp,quantile,0.5,110,COVID-19
DE-BB,00+,2024-01-18,2024-01-13,-5 day ahead inc hosp,quantile,0.5,110,COVID-19
DE-BB,00+,2024-01-18,2024-01-12,-6 day ahead inc hosp,quantile,0.5,129,COVID-19
DE-BB,00+,2024-01-18,2024-01-11,-7 day ahead inc hosp,quantile,0.5,141,COVID-19
DE-BB,00+,2024-01-18,2024-01-10,-8 day ahead inc hosp,quantile,0.5,173,COVID-19
DE-BB,00+,2024-01-18,2024-01-09,-9 day ahead inc hosp,quantile,0.5,265,COVID-19
DE-BB,00+,2024-01-18,2024-01-08,-10 day ahead inc hosp,quantile,0.5,231,COVID-19
DE-BB,00+,2024-01-18,2024-01-07,-11 day ahead inc hosp,quantile,0.5,231,COVID-19
DE-BB,00+,2024-01-18,2024-01-06,-12 day ahead inc hosp,quantile,0.5,233,COVID-19
DE-BB,00+,2024-01-18,2024-01-05,-13 day ahead inc hosp,quantile,0.5,243,COVID-19
DE-BB,00+,2024-01-18,2024-01-04,-14 day ahead inc hosp,quantile,0.5,258,COVID-19
DE-BB,00+,2024-01-18,2024-01-03,-15 day ahead inc hosp,quantile,0.5,361,COVID-19
DE-BB,00+,2024-01-18,2024-01-02,-16 day ahead inc hosp,quantile,0.5,240,COVID-19
DE-BB,00+,2024-01-18,2024-01-01,-17 day ahead inc hosp,quantile,0.5,264,COVID-19
DE-BB,00+,2024-01-18,2023-12-31,-18 day ahead inc hosp,quantile,0.5,266,COVID-19
DE-BB,00+,2024-01-18,2023-12-30,-19 day ahead inc hosp,quantile,0.5,268,COVID-19
DE-BB,00+,2024-01-18,2023-12-29,-20 day ahead inc hosp,quantile,0.5,284,COVID-19
DE-BB,00+,2024-01-18,2023-12-28,-21 day ahead inc hosp,quantile,0.5,312,COVID-19
DE-BB,00+,2024-01-18,2023-12-27,-22 day ahead inc hosp,quantile,0.5,262,COVID-19
DE-BB,00+,2024-01-18,2023-12-26,-23 day ahead inc hosp,quantile,0.5,389,COVID-19
DE-BB,00+,2024-01-18,2023-12-25,-24 day ahead inc hosp,quantile,0.5,563,COVID-19
DE-BB,00+,2024-01-18,2023-12-24,-25 day ahead inc hosp,quantile,0.5,569,COVID-19
DE-BB,00+,2024-01-18,2023-12-23,-26 day ahead inc hosp,quantile,0.5,578,COVID-19
DE-BB,00+,2024-01-18,2023-12-22,-27 day ahead inc hosp,quantile,0.5,602,COVID-19
DE-BB,00+,2024-01-18,2023-12-21,-28 day ahead inc hosp,quantile,0.5,654,COVID-19
DE-BB,00+,2024-01-18,2024-01-18,0 day ahead inc hosp,quantile,0.75,92.4411764705882,COVID-19
DE-BB,00+,2024-01-18,2024-01-17,-1 day ahead inc hosp,quantile,0.75,96.6428571428571,COVID-19
DE-BB,00+,2024-01-18,2024-01-16,-2 day ahead inc hosp,quantile,0.75,105.392070484582,COVID-19
DE-BB,00+,2024-01-18,2024-01-15,-3 day ahead inc hosp,quantile,0.75,115.590909090909,COVID-19
